"row ID","TruePositives","FalsePositives","TrueNegatives","FalseNegatives","Recall","Precision","Sensitivity","Specifity","F-measure","Accuracy","Cohen's kappa"
"4",50,0,13455,0,1.0,1.0,1.0,1.0,1.0,,
"5",29,0,13476,0,1.0,1.0,1.0,1.0,1.0,,
"6",20,0,13485,0,1.0,1.0,1.0,1.0,1.0,,
"7",2,0,13503,0,1.0,1.0,1.0,1.0,1.0,,
"8",3,0,13502,0,1.0,1.0,1.0,1.0,1.0,,
"9",3,0,13502,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
"0",7496,0,7510,0,1.0,1.0,1.0,1.0,1.0,,
"1",6359,0,8647,0,1.0,1.0,1.0,1.0,1.0,,
"2",724,0,14282,0,1.0,1.0,1.0,1.0,1.0,,
"3",308,0,14698,0,1.0,1.0,1.0,1.0,1.0,,
"4",56,0,14950,0,1.0,1.0,1.0,1.0,1.0,,
"5",32,0,14974,0,1.0,1.0,1.0,1.0,1.0,,
"6",22,0,14984,0,1.0,1.0,1.0,1.0,1.0,,
"7",3,0,15003,0,1.0,1.0,1.0,1.0,1.0,,
"8",3,0,15003,0,1.0,1.0,1.0,1.0,1.0,,
"9",3,0,15003,0,1.0,1.0,1.0,1.0,1.0,,
"Overall",,,,,,,,,,1.0,1.0
